het,	aob,	eps,	dead,	
100,	3.553934e-15,	3.175161e-15,	7.853982e-23,	7.853982e-23,	
200,	4.020367e-15,	3.209086e-15,	7.853982e-23,	7.853982e-23,	
300,	4.548019e-15,	3.243374e-15,	7.853982e-23,	7.853982e-23,	
400,	5.144922e-15,	3.278028e-15,	7.853982e-23,	7.853982e-23,	
500,	5.820167e-15,	3.313052e-15,	7.853982e-23,	7.853982e-23,	
600,	6.584036e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	7.448160e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
800,	8.425699e-15,	3.420387e-15,	7.853982e-23,	7.853982e-23,	
900,	9.531537e-15,	3.456933e-15,	7.853982e-23,	7.853982e-23,	
1000,	1.078252e-14,	3.493869e-15,	7.853982e-23,	7.853982e-23,	
1100,	1.219771e-14,	3.531200e-15,	7.853982e-23,	7.853982e-23,	
1200,	1.379865e-14,	3.568931e-15,	7.853982e-23,	7.853982e-23,	
1300,	1.560972e-14,	3.607065e-15,	7.853982e-23,	7.853982e-23,	
1400,	1.765852e-14,	3.645607e-15,	7.853982e-23,	7.853982e-23,	
1500,	1.997624e-14,	3.684560e-15,	7.853982e-23,	7.853982e-23,	
1600,	2.259821e-14,	3.723931e-15,	7.853982e-23,	7.853982e-23,	
1700,	2.556435e-14,	3.763722e-15,	7.853982e-23,	7.853982e-23,	
1800,	2.891985e-14,	3.803939e-15,	7.853982e-23,	7.853982e-23,	
1900,	3.271584e-14,	3.844587e-15,	7.853982e-23,	7.853982e-23,	
2000,	3.701016e-14,	3.885669e-15,	7.853982e-23,	7.853982e-23,	
2100,	4.186824e-14,	3.927191e-15,	7.853982e-23,	7.853982e-23,	
2200,	4.736412e-14,	3.969158e-15,	7.853982e-23,	7.853982e-23,	
2300,	5.358156e-14,	4.011574e-15,	7.853982e-23,	7.853982e-23,	
2400,	6.061528e-14,	4.054444e-15,	7.853982e-23,	7.853982e-23,	
2500,	6.857244e-14,	4.097774e-15,	7.853982e-23,	7.853982e-23,	
2600,	7.757440e-14,	4.141568e-15,	7.853982e-23,	7.853982e-23,	
2700,	8.775830e-14,	4.185831e-15,	7.853982e-23,	7.853982e-23,	
2800,	9.927935e-14,	4.230568e-15,	7.853982e-23,	7.853982e-23,	
2900,	1.123131e-13,	4.275785e-15,	7.853982e-23,	7.853982e-23,	
3000,	1.270583e-13,	4.321487e-15,	7.853982e-23,	7.853982e-23,	
3100,	1.437395e-13,	4.367679e-15,	7.853982e-23,	7.853982e-23,	
3200,	1.626110e-13,	4.414366e-15,	7.853982e-23,	7.853982e-23,	
3300,	1.839602e-13,	4.461555e-15,	7.853982e-23,	7.853982e-23,	
3400,	2.081126e-13,	4.509249e-15,	7.853982e-23,	7.853982e-23,	
3500,	2.354359e-13,	4.557456e-15,	7.853982e-23,	7.853982e-23,	
3600,	2.663464e-13,	4.606181e-15,	7.853982e-23,	7.853982e-23,	
3700,	3.013145e-13,	4.655429e-15,	7.853982e-23,	7.853982e-23,	
3800,	3.408726e-13,	4.705207e-15,	7.853982e-23,	7.853982e-23,	
3900,	3.856226e-13,	4.755520e-15,	7.853982e-23,	7.853982e-23,	
4000,	4.362450e-13,	4.806373e-15,	7.853982e-23,	7.853982e-23,	
4100,	4.935092e-13,	4.857774e-15,	7.853982e-23,	7.853982e-23,	
4200,	5.582805e-13,	4.909725e-15,	7.853982e-23,	7.853982e-23,	
4300,	6.315376e-13,	4.962231e-15,	7.853982e-23,	7.853982e-23,	
4400,	7.143877e-13,	5.015297e-15,	7.853982e-23,	7.853982e-23,	
4500,	8.080804e-13,	5.068930e-15,	7.853982e-23,	7.853982e-23,	
4600,	9.140261e-13,	5.123134e-15,	7.853982e-23,	7.853982e-23,	
4700,	1.033816e-12,	5.177916e-15,	7.853982e-23,	7.853982e-23,	
4800,	1.169245e-12,	5.233282e-15,	7.853982e-23,	7.853982e-23,	
4900,	1.322334e-12,	5.289238e-15,	7.853982e-23,	7.853982e-23,	
5000,	1.495363e-12,	5.345789e-15,	7.853982e-23,	7.853982e-23,	
5100,	1.690893e-12,	5.402941e-15,	7.853982e-23,	7.853982e-23,	
5200,	1.911810e-12,	5.460700e-15,	7.853982e-23,	7.853982e-23,	
5300,	-nan,	5.505733e-15,	7.853982e-23,	7.853982e-23,	
het,	aob,	eps,	dead,	
100,	3.384105e-15,	3.175162e-15,	7.853982e-23,	7.853982e-23,	
200,	3.645313e-15,	3.209087e-15,	7.853982e-23,	7.853982e-23,	
300,	3.926684e-15,	3.243375e-15,	7.853982e-23,	7.853982e-23,	
400,	4.229773e-15,	3.278029e-15,	7.853982e-23,	7.853982e-23,	
500,	4.556256e-15,	3.313053e-15,	7.853982e-23,	7.853982e-23,	
600,	4.907940e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	5.286769e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
800,	5.694838e-15,	3.420387e-15,	7.853982e-23,	7.853982e-23,	
900,	6.134406e-15,	3.456932e-15,	7.853982e-23,	7.853982e-23,	
1000,	6.607902e-15,	3.493868e-15,	7.853982e-23,	7.853982e-23,	
1100,	7.117946e-15,	3.531198e-15,	7.853982e-23,	7.853982e-23,	
1200,	7.667358e-15,	3.568927e-15,	7.853982e-23,	7.853982e-23,	
1300,	8.259179e-15,	3.607059e-15,	7.853982e-23,	7.853982e-23,	
1400,	8.896680e-15,	3.645599e-15,	7.853982e-23,	7.853982e-23,	
1500,	9.583387e-15,	3.684551e-15,	7.853982e-23,	7.853982e-23,	
1600,	1.032310e-14,	3.723918e-15,	7.853982e-23,	7.853982e-23,	
1700,	1.111991e-14,	3.763706e-15,	7.853982e-23,	7.853982e-23,	
1800,	1.197822e-14,	3.803920e-15,	7.853982e-23,	7.853982e-23,	
1900,	1.290278e-14,	3.844563e-15,	7.853982e-23,	7.853982e-23,	
2000,	1.389871e-14,	3.885640e-15,	7.853982e-23,	7.853982e-23,	
2100,	1.497151e-14,	3.927156e-15,	7.853982e-23,	7.853982e-23,	
2200,	1.612711e-14,	3.969116e-15,	7.853982e-23,	7.853982e-23,	
2300,	1.737192e-14,	4.011525e-15,	7.853982e-23,	7.853982e-23,	
2400,	1.871280e-14,	4.054386e-15,	7.853982e-23,	7.853982e-23,	
2500,	2.015718e-14,	4.097705e-15,	7.853982e-23,	7.853982e-23,	
2600,	2.171304e-14,	4.141487e-15,	7.853982e-23,	7.853982e-23,	
2700,	2.338899e-14,	4.185737e-15,	7.853982e-23,	7.853982e-23,	
2800,	2.519430e-14,	4.230460e-15,	7.853982e-23,	7.853982e-23,	
2900,	2.713895e-14,	4.275661e-15,	7.853982e-23,	7.853982e-23,	
3000,	2.923368e-14,	4.321344e-15,	7.853982e-23,	7.853982e-23,	
3100,	3.149009e-14,	4.367516e-15,	7.853982e-23,	7.853982e-23,	
3200,	3.392065e-14,	4.414181e-15,	7.853982e-23,	7.853982e-23,	
3300,	3.653879e-14,	4.461345e-15,	7.853982e-23,	7.853982e-23,	
3400,	3.935898e-14,	4.509013e-15,	7.853982e-23,	7.853982e-23,	
3500,	4.239681e-14,	4.557190e-15,	7.853982e-23,	7.853982e-23,	
3600,	4.566907e-14,	4.605882e-15,	7.853982e-23,	7.853982e-23,	
3700,	4.919383e-14,	4.655094e-15,	7.853982e-23,	7.853982e-23,	
3800,	5.299056e-14,	4.704833e-15,	7.853982e-23,	7.853982e-23,	
3900,	5.708022e-14,	4.755103e-15,	7.853982e-23,	7.853982e-23,	
4000,	6.148539e-14,	4.805910e-15,	7.853982e-23,	7.853982e-23,	
4100,	6.623040e-14,	4.857260e-15,	7.853982e-23,	7.853982e-23,	
4200,	7.134142e-14,	4.909159e-15,	7.853982e-23,	7.853982e-23,	
4300,	7.684662e-14,	4.961613e-15,	7.853982e-23,	7.853982e-23,	
4400,	8.277635e-14,	5.014628e-15,	7.853982e-23,	7.853982e-23,	
4500,	8.916331e-14,	5.068209e-15,	7.853982e-23,	7.853982e-23,	
4600,	9.604268e-14,	5.122362e-15,	7.853982e-23,	7.853982e-23,	
4700,	1.034523e-13,	5.177095e-15,	7.853982e-23,	7.853982e-23,	
4800,	1.114330e-13,	5.232413e-15,	7.853982e-23,	7.853982e-23,	
4900,	1.200286e-13,	5.288322e-15,	7.853982e-23,	7.853982e-23,	
5000,	1.292864e-13,	5.344829e-15,	7.853982e-23,	7.853982e-23,	
5100,	1.392572e-13,	5.401939e-15,	7.853982e-23,	7.853982e-23,	
5200,	1.499958e-13,	5.459660e-15,	7.853982e-23,	7.853982e-23,	
5300,	1.615609e-13,	5.517999e-15,	7.853982e-23,	7.853982e-23,	
5400,	1.740159e-13,	5.576961e-15,	7.853982e-23,	7.853982e-23,	
5500,	1.874291e-13,	5.636554e-15,	7.853982e-23,	7.853982e-23,	
5600,	2.018734e-13,	5.696783e-15,	7.853982e-23,	7.853982e-23,	
5700,	2.174280e-13,	5.757657e-15,	7.853982e-23,	7.853982e-23,	
5800,	2.341775e-13,	5.819181e-15,	7.853982e-23,	7.853982e-23,	
5900,	2.522130e-13,	5.881363e-15,	7.853982e-23,	7.853982e-23,	
6000,	2.716325e-13,	5.944211e-15,	7.853982e-23,	7.853982e-23,	
6100,	2.925414e-13,	6.007730e-15,	7.853982e-23,	7.853982e-23,	
6200,	3.150526e-13,	6.071929e-15,	7.853982e-23,	7.853982e-23,	
6300,	3.392881e-13,	6.136814e-15,	7.853982e-23,	7.853982e-23,	
6400,	3.653781e-13,	6.202392e-15,	7.853982e-23,	7.853982e-23,	
6500,	3.934630e-13,	6.268672e-15,	7.853982e-23,	7.853982e-23,	
6600,	4.236932e-13,	6.335661e-15,	7.853982e-23,	7.853982e-23,	
6700,	4.562306e-13,	6.403365e-15,	7.853982e-23,	7.853982e-23,	
6800,	4.912483e-13,	6.471794e-15,	7.853982e-23,	7.853982e-23,	
6900,	5.289329e-13,	6.540954e-15,	7.853982e-23,	7.853982e-23,	
7000,	5.694844e-13,	6.610853e-15,	7.853982e-23,	7.853982e-23,	
7100,	6.131160e-13,	6.681500e-15,	7.853982e-23,	7.853982e-23,	
7200,	6.600569e-13,	6.752902e-15,	7.853982e-23,	7.853982e-23,	
7300,	7.105533e-13,	6.825067e-15,	7.853982e-23,	7.853982e-23,	
7400,	7.648690e-13,	6.898003e-15,	7.853982e-23,	7.853982e-23,	
7500,	8.232855e-13,	6.971718e-15,	7.853982e-23,	7.853982e-23,	
het,	aob,	eps,	dead,	
100,	3.553934e-15,	3.175161e-15,	7.853982e-23,	7.853982e-23,	
200,	4.020367e-15,	3.209086e-15,	7.853982e-23,	7.853982e-23,	
300,	4.548019e-15,	3.243374e-15,	7.853982e-23,	7.853982e-23,	
400,	5.144922e-15,	3.278028e-15,	7.853982e-23,	7.853982e-23,	
500,	5.820167e-15,	3.313052e-15,	7.853982e-23,	7.853982e-23,	
600,	6.584036e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	7.448160e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
800,	8.425699e-15,	3.420387e-15,	7.853982e-23,	7.853982e-23,	
900,	9.531537e-15,	3.456933e-15,	7.853982e-23,	7.853982e-23,	
1000,	1.078252e-14,	3.493869e-15,	7.853982e-23,	7.853982e-23,	
1100,	1.219771e-14,	3.531200e-15,	7.853982e-23,	7.853982e-23,	
1200,	1.379865e-14,	3.568931e-15,	7.853982e-23,	7.853982e-23,	
1300,	1.560972e-14,	3.607065e-15,	7.853982e-23,	7.853982e-23,	
1400,	1.765852e-14,	3.645607e-15,	7.853982e-23,	7.853982e-23,	
1500,	1.997624e-14,	3.684560e-15,	7.853982e-23,	7.853982e-23,	
1600,	2.259821e-14,	3.723931e-15,	7.853982e-23,	7.853982e-23,	
1700,	2.556435e-14,	3.763722e-15,	7.853982e-23,	7.853982e-23,	
1800,	2.891985e-14,	3.803939e-15,	7.853982e-23,	7.853982e-23,	
1900,	3.271584e-14,	3.844587e-15,	7.853982e-23,	7.853982e-23,	
2000,	3.701016e-14,	3.885669e-15,	7.853982e-23,	7.853982e-23,	
2100,	4.186824e-14,	3.927191e-15,	7.853982e-23,	7.853982e-23,	
2200,	4.736412e-14,	3.969158e-15,	7.853982e-23,	7.853982e-23,	
2300,	5.358156e-14,	4.011574e-15,	7.853982e-23,	7.853982e-23,	
2400,	6.061528e-14,	4.054444e-15,	7.853982e-23,	7.853982e-23,	
2500,	6.857244e-14,	4.097774e-15,	7.853982e-23,	7.853982e-23,	
2600,	7.757440e-14,	4.141568e-15,	7.853982e-23,	7.853982e-23,	
2700,	8.775830e-14,	4.185831e-15,	7.853982e-23,	7.853982e-23,	
2800,	9.927935e-14,	4.230568e-15,	7.853982e-23,	7.853982e-23,	
2900,	1.123131e-13,	4.275785e-15,	7.853982e-23,	7.853982e-23,	
3000,	1.270583e-13,	4.321487e-15,	7.853982e-23,	7.853982e-23,	
3100,	1.437395e-13,	4.367679e-15,	7.853982e-23,	7.853982e-23,	
3200,	1.626110e-13,	4.414366e-15,	7.853982e-23,	7.853982e-23,	
3300,	1.839602e-13,	4.461555e-15,	7.853982e-23,	7.853982e-23,	
3400,	2.081126e-13,	4.509249e-15,	7.853982e-23,	7.853982e-23,	
3500,	2.354359e-13,	4.557456e-15,	7.853982e-23,	7.853982e-23,	
3600,	2.663464e-13,	4.606181e-15,	7.853982e-23,	7.853982e-23,	
3700,	3.013145e-13,	4.655429e-15,	7.853982e-23,	7.853982e-23,	
3800,	3.408726e-13,	4.705207e-15,	7.853982e-23,	7.853982e-23,	
3900,	3.856226e-13,	4.755520e-15,	7.853982e-23,	7.853982e-23,	
het,	aob,	eps,	dead,	
100,	3.553934e-15,	3.175161e-15,	7.853982e-23,	7.853982e-23,	
200,	4.020367e-15,	3.209086e-15,	7.853982e-23,	7.853982e-23,	
300,	4.548019e-15,	3.243374e-15,	7.853982e-23,	7.853982e-23,	
400,	5.144922e-15,	3.278028e-15,	7.853982e-23,	7.853982e-23,	
500,	5.820167e-15,	3.313052e-15,	7.853982e-23,	7.853982e-23,	
600,	6.584036e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	7.448160e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
800,	8.425699e-15,	3.420387e-15,	7.853982e-23,	7.853982e-23,	
900,	9.531537e-15,	3.456933e-15,	7.853982e-23,	7.853982e-23,	
1000,	1.078252e-14,	3.493869e-15,	7.853982e-23,	7.853982e-23,	
1100,	1.219771e-14,	3.531200e-15,	7.853982e-23,	7.853982e-23,	
1200,	1.379865e-14,	3.568931e-15,	7.853982e-23,	7.853982e-23,	
1300,	1.560972e-14,	3.607065e-15,	7.853982e-23,	7.853982e-23,	
1400,	1.765852e-14,	3.645607e-15,	7.853982e-23,	7.853982e-23,	
1500,	1.997624e-14,	3.684560e-15,	7.853982e-23,	7.853982e-23,	
1600,	2.259821e-14,	3.723931e-15,	7.853982e-23,	7.853982e-23,	
1700,	2.556435e-14,	3.763722e-15,	7.853982e-23,	7.853982e-23,	
1800,	2.891985e-14,	3.803939e-15,	7.853982e-23,	7.853982e-23,	
1900,	3.271584e-14,	3.844587e-15,	7.853982e-23,	7.853982e-23,	
2000,	3.701016e-14,	3.885669e-15,	7.853982e-23,	7.853982e-23,	
2100,	4.186824e-14,	3.927191e-15,	7.853982e-23,	7.853982e-23,	
2200,	4.736412e-14,	3.969158e-15,	7.853982e-23,	7.853982e-23,	
2300,	5.358156e-14,	4.011574e-15,	7.853982e-23,	7.853982e-23,	
2400,	6.061528e-14,	4.054444e-15,	7.853982e-23,	7.853982e-23,	
2500,	6.857244e-14,	4.097774e-15,	7.853982e-23,	7.853982e-23,	
2600,	7.757440e-14,	4.141568e-15,	7.853982e-23,	7.853982e-23,	
2700,	8.775830e-14,	4.185831e-15,	7.853982e-23,	7.853982e-23,	
2800,	9.927935e-14,	4.230568e-15,	7.853982e-23,	7.853982e-23,	
2900,	1.123131e-13,	4.275785e-15,	7.853982e-23,	7.853982e-23,	
3000,	1.270583e-13,	4.321487e-15,	7.853982e-23,	7.853982e-23,	
3100,	1.437395e-13,	4.367679e-15,	7.853982e-23,	7.853982e-23,	
3200,	1.626110e-13,	4.414366e-15,	7.853982e-23,	7.853982e-23,	
3300,	1.839602e-13,	4.461555e-15,	7.853982e-23,	7.853982e-23,	
3400,	2.081126e-13,	4.509249e-15,	7.853982e-23,	7.853982e-23,	
3500,	2.354359e-13,	4.557456e-15,	7.853982e-23,	7.853982e-23,	
3600,	2.663464e-13,	4.606181e-15,	7.853982e-23,	7.853982e-23,	
3700,	3.013145e-13,	4.655429e-15,	7.853982e-23,	7.853982e-23,	
3800,	3.408726e-13,	4.705207e-15,	7.853982e-23,	7.853982e-23,	
3900,	3.856226e-13,	4.755520e-15,	7.853982e-23,	7.853982e-23,	
4000,	4.362450e-13,	4.806373e-15,	7.853982e-23,	7.853982e-23,	
4100,	4.935092e-13,	4.857774e-15,	7.853982e-23,	7.853982e-23,	
4200,	5.582805e-13,	4.909725e-15,	7.853982e-23,	7.853982e-23,	
4300,	6.315376e-13,	4.962231e-15,	7.853982e-23,	7.853982e-23,	
4400,	7.143877e-13,	5.015297e-15,	7.853982e-23,	7.853982e-23,	
4500,	8.080804e-13,	5.068930e-15,	7.853982e-23,	7.853982e-23,	
4600,	9.140261e-13,	5.123134e-15,	7.853982e-23,	7.853982e-23,	
4700,	1.033816e-12,	5.177916e-15,	7.853982e-23,	7.853982e-23,	
4800,	1.169245e-12,	5.233282e-15,	7.853982e-23,	7.853982e-23,	
4900,	1.322334e-12,	5.289238e-15,	7.853982e-23,	7.853982e-23,	
5000,	1.495363e-12,	5.345789e-15,	7.853982e-23,	7.853982e-23,	
5100,	1.690893e-12,	5.402941e-15,	7.853982e-23,	7.853982e-23,	
5200,	1.911810e-12,	5.460700e-15,	7.853982e-23,	7.853982e-23,	
5300,	-nan,	5.505733e-15,	7.853982e-23,	7.853982e-23,	
het,	aob,	eps,	dead,	
100,	3.553934e-15,	3.175161e-15,	7.853982e-23,	7.853982e-23,	
200,	4.020367e-15,	3.209086e-15,	7.853982e-23,	7.853982e-23,	
300,	4.548019e-15,	3.243374e-15,	7.853982e-23,	7.853982e-23,	
400,	5.144922e-15,	3.278028e-15,	7.853982e-23,	7.853982e-23,	
500,	5.820167e-15,	3.313052e-15,	7.853982e-23,	7.853982e-23,	
600,	6.584036e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	7.448160e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
800,	8.425699e-15,	3.420387e-15,	7.853982e-23,	7.853982e-23,	
900,	9.531537e-15,	3.456933e-15,	7.853982e-23,	7.853982e-23,	
1000,	1.078252e-14,	3.493869e-15,	7.853982e-23,	7.853982e-23,	
1100,	1.219771e-14,	3.531200e-15,	7.853982e-23,	7.853982e-23,	
1200,	1.379865e-14,	3.568931e-15,	7.853982e-23,	7.853982e-23,	
1300,	1.560972e-14,	3.607065e-15,	7.853982e-23,	7.853982e-23,	
1400,	1.765852e-14,	3.645607e-15,	7.853982e-23,	7.853982e-23,	
1500,	1.997624e-14,	3.684560e-15,	7.853982e-23,	7.853982e-23,	
1600,	2.259821e-14,	3.723931e-15,	7.853982e-23,	7.853982e-23,	
1700,	2.556435e-14,	3.763722e-15,	7.853982e-23,	7.853982e-23,	
1800,	2.891985e-14,	3.803939e-15,	7.853982e-23,	7.853982e-23,	
1900,	3.271584e-14,	3.844587e-15,	7.853982e-23,	7.853982e-23,	
2000,	3.701016e-14,	3.885669e-15,	7.853982e-23,	7.853982e-23,	
het,	aob,	eps,	dead,	
het,	aob,	eps,	dead,	
100,	3.553934e-15,	3.175161e-15,	7.853982e-23,	7.853982e-23,	
200,	4.020367e-15,	3.209086e-15,	7.853982e-23,	7.853982e-23,	
300,	4.548019e-15,	3.243374e-15,	7.853982e-23,	7.853982e-23,	
400,	5.144922e-15,	3.278028e-15,	7.853982e-23,	7.853982e-23,	
500,	5.820167e-15,	3.313052e-15,	7.853982e-23,	7.853982e-23,	
600,	6.584036e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	7.448160e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
het,	aob,	eps,	dead,	
100,	3.553934e-15,	3.175161e-15,	7.853982e-23,	7.853982e-23,	
200,	4.020367e-15,	3.209086e-15,	7.853982e-23,	7.853982e-23,	
300,	4.548019e-15,	3.243374e-15,	7.853982e-23,	7.853982e-23,	
400,	5.144922e-15,	3.278028e-15,	7.853982e-23,	7.853982e-23,	
500,	5.820167e-15,	3.313052e-15,	7.853982e-23,	7.853982e-23,	
600,	6.584036e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	7.448160e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
800,	8.425699e-15,	3.420387e-15,	7.853982e-23,	7.853982e-23,	
900,	9.531536e-15,	3.456933e-15,	7.853982e-23,	7.853982e-23,	
1000,	1.078252e-14,	3.493869e-15,	7.853982e-23,	7.853982e-23,	
1100,	1.219770e-14,	3.531200e-15,	7.853982e-23,	7.853982e-23,	
1200,	1.379864e-14,	3.568931e-15,	7.853982e-23,	7.853982e-23,	
1300,	1.560971e-14,	3.607065e-15,	7.853982e-23,	7.853982e-23,	
1400,	1.765851e-14,	3.645606e-15,	7.853982e-23,	7.853982e-23,	
1500,	1.997624e-14,	3.684560e-15,	7.853982e-23,	7.853982e-23,	
1600,	2.259820e-14,	3.723931e-15,	7.853982e-23,	7.853982e-23,	
1700,	2.556433e-14,	3.763722e-15,	7.853982e-23,	7.853982e-23,	
1800,	2.891984e-14,	3.803939e-15,	7.853982e-23,	7.853982e-23,	
1900,	3.271583e-14,	3.844587e-15,	7.853982e-23,	7.853982e-23,	
2000,	3.701016e-14,	3.885669e-15,	7.853982e-23,	7.853982e-23,	
het,	aob,	eps,	dead,	
het,	aob,	eps,	dead,	
100,	3.553934e-15,	3.175161e-15,	7.853982e-23,	7.853982e-23,	
200,	4.020367e-15,	3.209086e-15,	7.853982e-23,	7.853982e-23,	
300,	4.548019e-15,	3.243374e-15,	7.853982e-23,	7.853982e-23,	
400,	5.144922e-15,	3.278028e-15,	7.853982e-23,	7.853982e-23,	
500,	5.820167e-15,	3.313052e-15,	7.853982e-23,	7.853982e-23,	
600,	6.584036e-15,	3.348451e-15,	7.853982e-23,	7.853982e-23,	
700,	7.448160e-15,	3.384228e-15,	7.853982e-23,	7.853982e-23,	
800,	8.425699e-15,	3.420387e-15,	7.853982e-23,	7.853982e-23,	
900,	9.531536e-15,	3.456933e-15,	7.853982e-23,	7.853982e-23,	
1000,	1.078252e-14,	3.493869e-15,	7.853982e-23,	7.853982e-23,	
1100,	1.219770e-14,	3.531200e-15,	7.853982e-23,	7.853982e-23,	
1200,	1.379864e-14,	3.568931e-15,	7.853982e-23,	7.853982e-23,	
1300,	1.560971e-14,	3.607065e-15,	7.853982e-23,	7.853982e-23,	
1400,	1.765851e-14,	3.645606e-15,	7.853982e-23,	7.853982e-23,	
1500,	1.997624e-14,	3.684560e-15,	7.853982e-23,	7.853982e-23,	
1600,	2.259820e-14,	3.723931e-15,	7.853982e-23,	7.853982e-23,	
1700,	2.556433e-14,	3.763722e-15,	7.853982e-23,	7.853982e-23,	
1800,	2.891984e-14,	3.803939e-15,	7.853982e-23,	7.853982e-23,	
1900,	3.271583e-14,	3.844587e-15,	7.853982e-23,	7.853982e-23,	
2000,	3.701016e-14,	3.885669e-15,	7.853982e-23,	7.853982e-23,	
2100,	4.186823e-14,	3.927191e-15,	7.853982e-23,	7.853982e-23,	
2200,	4.736409e-14,	3.969158e-15,	7.853982e-23,	7.853982e-23,	
2300,	5.358144e-14,	4.011573e-15,	7.853982e-23,	7.853982e-23,	
2400,	6.061502e-14,	4.054443e-15,	7.853982e-23,	7.853982e-23,	
2500,	6.857201e-14,	4.097772e-15,	7.853982e-23,	7.853982e-23,	
2600,	7.757407e-14,	4.141566e-15,	7.853982e-23,	7.853982e-23,	
2700,	8.775814e-14,	4.185830e-15,	7.853982e-23,	7.853982e-23,	
2800,	9.927929e-14,	4.230568e-15,	7.853982e-23,	7.853982e-23,	
2900,	1.123132e-13,	4.275785e-15,	7.853982e-23,	7.853982e-23,	
3000,	1.270584e-13,	4.321487e-15,	7.853982e-23,	7.853982e-23,	
3100,	1.437397e-13,	4.367679e-15,	7.853982e-23,	7.853982e-23,	
3200,	1.626112e-13,	4.414366e-15,	7.853982e-23,	7.853982e-23,	
3300,	1.839605e-13,	4.461555e-15,	7.853982e-23,	7.853982e-23,	
3400,	2.081129e-13,	4.509250e-15,	7.853982e-23,	7.853982e-23,	
3500,	2.354363e-13,	4.557456e-15,	7.853982e-23,	7.853982e-23,	
3600,	2.663469e-13,	4.606181e-15,	7.853982e-23,	7.853982e-23,	
3700,	3.013152e-13,	4.655429e-15,	7.853982e-23,	7.853982e-23,	
3800,	3.408735e-13,	4.705207e-15,	7.853982e-23,	7.853982e-23,	
3900,	3.856239e-13,	4.755520e-15,	7.853982e-23,	7.853982e-23,	
4000,	4.362465e-13,	4.806373e-15,	7.853982e-23,	7.853982e-23,	
4100,	4.935111e-13,	4.857774e-15,	7.853982e-23,	7.853982e-23,	
4200,	5.582826e-13,	4.909725e-15,	7.853982e-23,	7.853982e-23,	
4300,	6.315403e-13,	4.962231e-15,	7.853982e-23,	7.853982e-23,	
4400,	7.143908e-13,	5.015297e-15,	7.853982e-23,	7.853982e-23,	
4500,	8.080837e-13,	5.068929e-15,	7.853982e-23,	7.853982e-23,	
4600,	9.140297e-13,	5.123134e-15,	7.853982e-23,	7.853982e-23,	
4700,	1.033820e-12,	5.177916e-15,	7.853982e-23,	7.853982e-23,	
4800,	1.169250e-12,	5.233282e-15,	7.853982e-23,	7.853982e-23,	
4900,	1.322341e-12,	5.289237e-15,	7.853982e-23,	7.853982e-23,	
5000,	1.495370e-12,	5.345788e-15,	7.853982e-23,	7.853982e-23,	
5100,	1.690903e-12,	5.402940e-15,	7.853982e-23,	7.853982e-23,	
5200,	1.911823e-12,	5.460700e-15,	7.853982e-23,	7.853982e-23,	
5300,	-nan,	5.505731e-15,	7.853982e-23,	7.853982e-23,	
