aob,	nob,	
3600,	600,	1400,	
7200,	600,	1400,	
10800,	600,	1400,	
14400,	600,	1400,	
18000,	600,	1400,	
21600,	600,	1400,	
25200,	600,	1400,	
28800,	600,	1400,	
32400,	600,	1400,	
36000,	600,	1400,	
39600,	600,	1400,	
43200,	600,	1400,	
46800,	600,	1400,	
50400,	600,	1400,	
54000,	600,	1400,	
57600,	600,	1400,	
61200,	600,	1400,	
64800,	600,	1400,	
68400,	600,	1400,	
72000,	600,	1400,	
75600,	617,	1400,	
79200,	679,	1400,	
82800,	718,	1406,	
86400,	762,	1409,	
90000,	809,	1411,	
93600,	858,	1412,	
97200,	894,	1417,	
100800,	908,	1419,	
104400,	950,	1419,	
108000,	991,	1425,	
111600,	1032,	1429,	
115200,	1072,	1432,	
118800,	1100,	1439,	
122400,	1132,	1441,	
126000,	1172,	1448,	
129600,	1200,	1452,	
133200,	1200,	1454,	
136800,	1200,	1458,	
140400,	1200,	1462,	
144000,	1200,	1464,	
147600,	1202,	1465,	
151200,	1212,	1470,	
154800,	1231,	1472,	
158400,	1254,	1476,	
162000,	1287,	1477,	
165600,	1333,	1481,	
169200,	1372,	1485,	
172800,	1406,	1485,	
176400,	1448,	1489,	
180000,	1504,	1492,	
183600,	1558,	1495,	
187200,	1623,	1501,	
190800,	1697,	1504,	
194400,	1775,	1510,	
198000,	1844,	1517,	
201600,	1914,	1519,	
205200,	1994,	1524,	
208800,	2051,	1532,	
212400,	2119,	1542,	
216000,	2173,	1551,	
219600,	2210,	1555,	
223200,	2250,	1563,	
226800,	2293,	1575,	
230400,	2322,	1586,	
234000,	2361,	1600,	
237600,	2409,	1612,	
241200,	2454,	1622,	
244800,	2489,	1627,	
248400,	2538,	1632,	
252000,	2583,	1637,	
255600,	2624,	1647,	
259200,	2689,	1657,	
262800,	2767,	1668,	
266400,	2859,	1676,	
270000,	2940,	1682,	
273600,	3035,	1688,	
277200,	3130,	1700,	
280800,	3233,	1713,	
284400,	3361,	1729,	
288000,	3476,	1740,	
291600,	3593,	1756,	
295200,	3726,	1770,	
298800,	3821,	1781,	
302400,	3941,	1796,	
306000,	4061,	1810,	
309600,	4173,	1830,	
313200,	4294,	1849,	
316800,	4377,	1857,	
320400,	4485,	1874,	
324000,	4571,	1892,	
327600,	4671,	1901,	
331200,	4765,	1918,	
334800,	4869,	1942,	
338400,	4956,	1955,	
342000,	5058,	1972,	
345600,	5172,	1989,	
349200,	5280,	2018,	
352800,	5409,	2034,	
356400,	5554,	2052,	
360000,	5711,	2080,	
363600,	5880,	2103,	
367200,	6070,	2118,	
370800,	6249,	2137,	
374400,	6445,	2163,	
378000,	6638,	2183,	
381600,	6839,	2202,	
385200,	7052,	2225,	
388800,	7278,	2252,	
392400,	7510,	2282,	
396000,	7740,	2308,	
399600,	7953,	2338,	
403200,	8173,	2372,	
406800,	8385,	2409,	
410400,	8569,	2443,	
414000,	8787,	2473,	
417600,	8980,	2505,	
421200,	9187,	2536,	
424800,	9385,	2578,	
428400,	9599,	2613,	
432000,	9844,	2661,	
435600,	10054,	2685,	
439200,	10313,	2728,	
442800,	10579,	2779,	
446400,	10866,	2823,	
450000,	11136,	2865,	
453600,	11436,	2918,	
457200,	11734,	2965,	
460800,	12060,	2999,	
464400,	12375,	3045,	
468000,	12755,	3093,	
471600,	13144,	3144,	
475200,	13533,	3202,	
478800,	13915,	3240,	
482400,	14344,	3280,	
486000,	14734,	3339,	
489600,	15138,	3402,	
493200,	15553,	3455,	
496800,	15964,	3511,	
500400,	16424,	3573,	
504000,	16858,	3647,	
507600,	17244,	3725,	
511200,	17688,	3798,	
514800,	18127,	3866,	
518400,	18569,	3940,	
522000,	19034,	4014,	
525600,	19515,	4095,	
529200,	19985,	4158,	
532800,	20506,	4240,	
536400,	21040,	4317,	
540000,	21577,	4411,	
543600,	22131,	4491,	
547200,	22743,	4594,	
550800,	23298,	4671,	
554400,	23930,	4763,	
558000,	24552,	4860,	
561600,	25235,	4960,	
565200,	25899,	5057,	
568800,	26640,	5143,	
572400,	27462,	5254,	
576000,	28222,	5350,	
579600,	29021,	5468,	
583200,	29849,	5585,	
586800,	30606,	5698,	
590400,	31438,	5815,	
594000,	32246,	5941,	
597600,	33045,	6049,	
601200,	33928,	6192,	
604800,	34815,	6326,	
608400,	35710,	6471,	
612000,	36626,	6622,	
615600,	37630,	6778,	
619200,	38610,	6907,	
622800,	39537,	7051,	
626400,	40548,	7210,	
630000,	41601,	7371,	
633600,	42648,	7545,	
637200,	43802,	7707,	
640800,	44886,	7906,	
644400,	46100,	8085,	
648000,	47322,	8284,	
651600,	48525,	8497,	
655200,	49899,	8704,	
658800,	51334,	8926,	
662400,	52660,	9118,	
666000,	54120,	9312,	
669600,	55556,	9522,	
673200,	57051,	9714,	
676800,	58621,	9961,	
680400,	60164,	10170,	
684000,	61818,	10420,	
687600,	63496,	10671,	
691200,	65131,	10918,	
694800,	66907,	11157,	
698400,	68629,	11436,	
702000,	70361,	11706,	
705600,	72207,	11997,	
709200,	74114,	12297,	
712800,	76041,	12602,	
716400,	77997,	12910,	
720000,	79982,	13207,	
723600,	81994,	13549,	
727200,	84139,	13907,	
730800,	86344,	14227,	
734400,	88647,	14614,	
738000,	90972,	14985,	
741600,	93310,	15410,	
745200,	95815,	15785,	
748800,	98354,	16136,	
752400,	100989,	16523,	
756000,	103742,	16957,	
759600,	106474,	17386,	
763200,	109325,	17857,	
766800,	112245,	18307,	
770400,	115291,	18780,	
774000,	118369,	19246,	
777600,	121446,	19726,	
781200,	124659,	20274,	
784800,	127874,	20764,	
788400,	131260,	21310,	
792000,	134709,	21827,	
795600,	138156,	22330,	
799200,	141720,	22869,	
802800,	145464,	23425,	
806400,	149322,	23970,	
810000,	153199,	24562,	
813600,	157079,	25181,	
817200,	160998,	25871,	
820800,	165101,	26522,	
824400,	169332,	27197,	
828000,	173674,	27912,	
831600,	178150,	28614,	
835200,	182508,	29359,	
838800,	187220,	30119,	
842400,	191876,	30868,	
846000,	196780,	31622,	
849600,	201750,	32383,	
853200,	206944,	33183,	
856800,	211920,	33974,	
860400,	217219,	34818,	
864000,	222467,	35734,	
867600,	227649,	36621,	
871200,	233009,	37516,	
874800,	238444,	38422,	
878400,	243947,	39318,	
882000,	249471,	40266,	
885600,	255107,	41237,	
889200,	260753,	42213,	
892800,	266524,	43210,	
896400,	272381,	44171,	
900000,	278257,	45184,	
903600,	284231,	46223,	
907200,	290325,	47286,	
910800,	296555,	48345,	
914400,	302702,	49459,	
918000,	308821,	50552,	
921600,	314911,	51701,	
925200,	321041,	52841,	
928800,	327223,	54037,	
932400,	333561,	55171,	
936000,	340055,	56394,	
939600,	346591,	57604,	
943200,	353105,	58862,	
946800,	359787,	60045,	
950400,	366624,	61307,	
954000,	373551,	62590,	
957600,	380636,	63900,	
961200,	387648,	65208,	
964800,	394660,	66552,	
968400,	401730,	67842,	
972000,	408744,	69176,	
975600,	415706,	70522,	
979200,	422643,	71875,	
982800,	429738,	73244,	
986400,	436737,	74698,	
990000,	444018,	76095,	
993600,	451164,	77518,	
997200,	458501,	78965,	
1000800,	465868,	80477,	
1004400,	473253,	81951,	
1008000,	480849,	83435,	
1011600,	488490,	84978,	
1015200,	496178,	86551,	
1018800,	503991,	88093,	
1022400,	511809,	89657,	
1026000,	519299,	91171,	
1029600,	526651,	92733,	
1033200,	534287,	94305,	
1036800,	541938,	95950,	
1040400,	549770,	97569,	
1044000,	557553,	99184,	
1047600,	565446,	100803,	
1051200,	573658,	102456,	
1054800,	581599,	104118,	
1058400,	589597,	105752,	
1062000,	597715,	107464,	
1065600,	605903,	109097,	
1069200,	614234,	110832,	
1072800,	622520,	112538,	
1076400,	630495,	114342,	
1080000,	638565,	115962,	
1083600,	646409,	117743,	
1087200,	654408,	119461,	
1090800,	662668,	121189,	
1094400,	670816,	122939,	
1098000,	679175,	124748,	
1101600,	687512,	126556,	
1105200,	695852,	128362,	
1108800,	704405,	130146,	
1112400,	712860,	132007,	
1116000,	721400,	133768,	
1119600,	730141,	135605,	
1123200,	738692,	137370,	
1126800,	747306,	139262,	
1130400,	756099,	141177,	
1134000,	764441,	143037,	
1137600,	773016,	144899,	
1141200,	781490,	146722,	
1144800,	790059,	148539,	
1148400,	798667,	150396,	
1152000,	807531,	152241,	
1155600,	816150,	154167,	
1159200,	825022,	156116,	
1162800,	833780,	158082,	
1166400,	842677,	160038,	
1170000,	851662,	161945,	
1173600,	860642,	163809,	
1177200,	869834,	165739,	
1180800,	879125,	167866,	
1184400,	887772,	169813,	
1188000,	896641,	171794,	
1191600,	905543,	173745,	
1195200,	914518,	175733,	
1198800,	923492,	177714,	
1202400,	932320,	179707,	
1206000,	941257,	181698,	
1209600,	950444,	183685,	
1213200,	959692,	185789,	
1216800,	968826,	187805,	
1220400,	978175,	189816,	
1224000,	987621,	191838,	
1227600,	997180,	193904,	
1231200,	1006788,	195931,	
1234800,	1015716,	197991,	
1238400,	1024708,	200002,	
1242000,	1033886,	202079,	
1245600,	1043052,	204166,	
1249200,	1052209,	206269,	
1252800,	1061375,	208306,	
1256400,	1070636,	210365,	
1260000,	1079949,	212453,	
1263600,	1089409,	214494,	
1267200,	1098885,	216567,	
1270800,	1108540,	218596,	
1274400,	1118218,	220726,	
1278000,	1127863,	222752,	
1281600,	1137416,	224884,	
1285200,	1147152,	227055,	
1288800,	1157134,	229195,	
